,Name,Price,Sold_out,Location
47,โอเค ขนมปังกรอบแผ่นบาง รสช็อกโกแลต โนริวาซาบิ สาหร่าย รสนม พิซซ่า รสชีส  30 กรัม แพ็ค 12 ซอง OK ขนมแผ่นok,75.0,37.0,จังหวัดนครสวรรค์
48,ขนมเวเฟอร์เคลือกช็อกโกแลต/นม(Apollo) 1 ถุง บรรจุ 12 ชิ้น,20.0,49000.0,จังหวัดสงขลา
49,ขนมยุค90ขนมโบราณวอยซ์แครกเกอร์28กรัม12ซอง,60.0,97.0,จังหวัดพิษณุโลก
50,🔥 พริกทอด พริกทอดกรอบ พริกคั่วงา พร้อมส่ง 🌶 กรอบใหม่อร่อย ไม่เหม็นหืน มี 15 รสชาติ พริกทอดงา ขนมพริก,20.0,36000.0,จังหวัดกรุงเทพมหานคร
51,Malus-คีโตอัลมอนด์บอมบ์ไร้แป้งไร้นํ้าตาล​KETO Almond Bomb No Sugar No Flour ขนมคลีนขนมเพื่อสุขภาพกลูเตนฟรีลดความอ้วน,19.0,219000.0,จังหวัดกรุงเทพมหานคร
52,🔥ค่าส่งถูกที่สุด🔥ช็อคบอลลาวา สตอเบอรี่ลาวา ช็อคบอล ชีสบอลลาวา โอริโอ้ ช็อคโกแลต ช็อกโกแลต โอลิโอ้ ขนม โอริโอ,79.0,142.0,จังหวัดกรุงเทพมหานคร
53,ขนมกุ้งเต้น 5 บาท แพ็คละ12ห่อ(สินค้าขายดี),59.0,416.0,จังหวัดกรุงเทพมหานคร
54,ขนมเกล็ด gery messe ขนมรสช็อคโกแล็ต,24.0,414.0,จังหวัดเชียงใหม่
55,บ๊วยเค็ม ผลไม้อบแห้ง บ๊วยเค็มขาว อาหาร ขนมทานเล่น บ๊วยตัด บ๊วยรสรวม บ๊วยชิ้น ผลไม้ บ๊วยแผ่น ผลไม้รวมอบแห้ง,32.0,112000.0,จังหวัดกรุงเทพมหานคร
56,มาการองจิ๋ว #มาการองจิ๋ว#macaroon#HomeBakery#ขนม,30.0,367.0,จังหวัดสมุทรปราการ
57,โทฟี่ลัค (Tofiluk) 1 กล่องบรรจุ 13 ชิ้น บิสกิตเคลือบคาราเมลและครีมช็อกโกแลตนม,55.0,173000.0,จังหวัดกรุงเทพมหานคร
58,KP MIRACLE บ๊วยรวมรส ขนาด500กรัม/1000กรัม ราคาถูกสุดๆ เม็ดเน้นๆ เม็ดใหญ่ พร้อมส่งทั่วประเทศ,44.0,327000.0,จังหวัดกรุงเทพมหานคร
59,ผักกรอบราคาถูก ผักผลไม้ ผลไม้ผักอบกรอบ ขนมเพื่อสุขภาพ ผักอบแห้ง ขนมกินเล่นถูกๆ ของกินเล่น ขนมอร่อยๆๆถูกๆ ขนมทอดกรอบ ผักกรอบรวม ผักอบกรอบ 500 กรัม,39.0,35000.0,จังหวัดกรุงเทพมหานคร
60,Dark Chocolate ช็อกโกแลตแท้ 50% ปริมาร 60 กรัม Chocobeans,119.0,711.0,จังหวัดกรุงเทพมหานคร
61,[ลูกค้าใหม่ 1 บาท]‼️New‼️ บราวนี่ถาด 1 ปอนด์ คลาสสิคบราวนี่ ไม่มีไขมันทรานส์ บราวนี่พิซซ่า,87.0,45000.0,จังหวัดขอนแก่น
62,เม็ดมะม่วงหิมพานต์อบ ขนาด500กรัม เม็ดเต็ม เกรดB อบสดใหม่หอมอร่อย #เม็ดมะม่วงหิมพานต์,139.0,522000.0,จังหวัดสตูล
63,ช๊อกโกแลตสอดไส้สตอเบอรี่สุดฮิตจากญี่ปุ่น 60กรัม มี3รส นม ชาเขียว ช๊อกโกแลต,35.0,191000.0,จังหวัดกรุงเทพมหานคร
64,[ขายดี] MALEE เงาะกระป๋อง ขนาด 8.25 oz  234g.,48.0,159000.0,จังหวัดสมุทรปราการ
65,fluorine  ขนมถุงสุ่ม กว่า100 ชนิด ขนมหมูสุ่ม  ถุงสุ่มขนม ขนมกินเล่นถูกๆ ถุงสุ่มขนม ขนมถุงสุ่ม ขนมขบเคี้ยว ขนมทานเล่น ถุงเซอร์ไพร์ ห่อยักษ์ใหญ่,243.0,62.0,ต่างประเทศ
66,ขนมโยเกิร์ตก้อน โยเกิร์ตกรอบ ขนมอร่อย โยเกิร์ตสมูทตี้อบกรอบ เปรี้ยวหวาน กรอบฟู 45g,45.0,951.0,จังหวัดกรุงเทพมหานคร
67,N Waffle 🧇 ขนมวาฟเฟิลเบลเยี่ยมพร้อมทาน 1 ชิ้น (ผลิตสดใหม่ตามออเดอร์ ชิ้นใหญ่คุ้มค่า),19.0,31000.0,จังหวัดกรุงเทพมหานคร
68,ขนมสอดไส้ครีมรส ช็อคโกแลต triangle snack ไตรแองเกิล สแน็ค 8 กรัม x 24 ชิ้น ตรา แดท แดท,44.0,739.0,จังหวัดเชียงใหม่
69,🔥 พร้อมส่ง🔥 คุ้กกี้พระราชวัง (หลอด) white castle จากมาเล เวเฟอร์พระราชวัง ขนมโอโจ้,32.0,4000.0,จังหวัดสงขลา
70,‼️New‼️Matcha Green Tea Brownies 🍵ขนม มัทฉะบราวนี่ บราวนี่ชาเขียว หวานน้อย ไร้ไขมันทรานส์ ดีต่อสุขภาพ,19.0,3000.0,จังหวัดขอนแก่น
